search_name,norm,naissances
Ylan,ylan,730.0
Celya,celya,730.0
Billel,billel,730.0
Nada,nada,730.0
Bernard,bernard,730.0
Dilara,dilara,730.0
Habib,habib,730.0
Debora,debora,725.0
Edith,edith,725.0
Lisa-Marie,lisa-marie,725.0
Corinne,corinne,725.0
Cannelle,cannelle,720.0
Larissa,larissa,720.0
Neo,neo,720.0
Khaled,khaled,720.0
Naila,naila,720.0
Colyne,colyne,715.0
Michèle,michele,715.0
Stefan,stefan,715.0
Gustave,gustave,710.0
Mariame,mariame,710.0
Oumou,oumou,710.0
Wilfrid,wilfrid,710.0
Guillemette,guillemette,710.0
Kilyan,kilyan,710.0
Elona,elona,710.0
Taina,taina,710.0
Aida,aida,705.0
Aziz,aziz,705.0
Fany,fany,705.0
Harry,harry,705.0
Chayma,chayma,705.0
Manal,manal,705.0
Camilia,camilia,705.0
Felicien,felicien,700.0
Toni,toni,700.0
Michelle,michelle,700.0
Stevens,stevens,700.0
Maxine,maxine,700.0
Suzy,suzy,700.0
Sarra,sarra,700.0
Oualid,oualid,695.0
Eda,eda,695.0
Stephan,stephan,695.0
Yaniss,yaniss,695.0
Aristide,aristide,695.0
Leonore,leonore,695.0
Lia,lia,695.0
Annie,annie,695.0
Othman,othman,695.0
Merwan,merwan,690.0
Isis,isis,690.0
Briac,briac,690.0
Noeline,noeline,690.0
Jeff,jeff,685.0
Hasna,hasna,685.0
Latifa,latifa,685.0
Roland,roland,685.0
